app_id,app_name,review_text,rating,thumbs_up,review_date,reply_text,reply_date,source,clean_text,category,prediction_confidence,needs_human_review,sentiment_score,sentiment,dedupe_method,duplicate_group,duplicate_count,priority_score,priority
com.instagram.android,instagram,known about the environment,5,0,2026-07-29 08:59:15,,,play_store,known about the environment,Complaint,0.73121697,True,0,Neutral,tfidf_fallback,2,1,3.52,Low
com.instagram.android,instagram,app sucks. it suspends id without any reason. I created my I'd yesterday and it got suspended today and I can't bring it back.,1,0,2026-07-29 08:59:12,,,play_store,app sucks. it suspends id without any reason. i created my i'd yesterday and it got suspended today and i can't bring it back.,Complaint,0.86062866,True,0,Neutral,tfidf_fallback,3,1,6.52,High
com.instagram.android,instagram,learnmore,5,0,2026-07-29 08:56:46,,,play_store,learnmore,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,4,1,3.52,Low
com.instagram.android,instagram,kashish jatav,5,0,2026-07-29 08:55:17,,,play_store,kashish jatav,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,5,1,3.52,Low
com.instagram.android,instagram,footdall lover,5,0,2026-07-29 08:54:26,,,play_store,footdall lover,Praise,0.46530744,True,0,Neutral,tfidf_fallback,7,1,1.02,Low
com.instagram.android,instagram,is app ne meri 20 se bhi jayada I'd uda di h bina koi reason ke bhut dukh hota h id udne per,1,0,2026-07-29 08:51:50,,,play_store,is app ne meri 20 se bhi jayada i'd uda di h bina koi reason ke bhut dukh hota h id udne per,Bug,0.5003572,True,0,Neutral,tfidf_fallback,9,1,7.52,High
com.instagram.android,instagram,this app is my world,5,0,2026-07-29 08:51:39,,,play_store,this app is my world,Praise,0.65644336,True,0,Neutral,tfidf_fallback,10,1,1.02,Low
com.instagram.android,instagram,👤😴😪🖇️🖐️❤️‍🩹,5,0,2026-07-29 08:51:07,,,play_store,👤😴😪🖇️🖐️❤️‍🩹,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,11,1,3.52,Low
com.instagram.android,instagram,time wastage,1,0,2026-07-29 08:50:28,,,play_store,time wastage,Complaint,0.6086266,True,0,Neutral,tfidf_fallback,12,1,6.52,High
com.instagram.android,instagram,my life change,4,0,2026-07-29 08:50:23,,,play_store,my life change,Complaint,0.4560489,True,0,Neutral,tfidf_fallback,13,1,4.27,Medium
com.instagram.android,instagram,this app is very bad app,1,0,2026-07-29 08:49:40,,,play_store,this app is very bad app,Complaint,0.48074853,True,-1,Negative,tfidf_fallback,14,1,6.52,High
com.instagram.android,instagram,"Instagram is a scam, #instaisscam",1,0,2026-07-29 08:49:12,,,play_store,"instagram is a scam, #instaisscam",Praise,0.7466495,True,0,Neutral,tfidf_fallback,16,1,4.02,Medium
com.instagram.android,instagram,fake aap hai bhai koi download mat karo id suspend ho jati hai,1,0,2026-07-29 08:49:02,,,play_store,fake aap hai bhai koi download mat karo id suspend ho jati hai,Bug,0.48155355,True,0,Neutral,tfidf_fallback,17,1,7.52,High
com.instagram.android,instagram,views,5,0,2026-07-29 08:48:18,,,play_store,views,Complaint,0.46711525,True,0,Neutral,tfidf_fallback,18,1,3.52,Low
